threshold_1,threshold_2,threshold_3,threshold_4,threshold_5
-2.606,-1.445,-1.262,1.098,4.455
-3.277,-2.31,-1.879,0.038,2.383
-2.331,-1.599,-0.165,1.782,3.88
-2.901,-2.307,-0.587,1.549,3.942
-2.134,-0.535,-0.332,2.105,4.513
-3.964,-1.645,0.525,5.007,NA
