threshold_1,threshold_2,threshold_3,threshold_4
-4.617,-1.458,0.124,1.155
-1.661,-0.848,0.531,1.421
-0.182,0.492,1.579,2.332
-2.11,-0.088,0.499,1.732
-1.865,-0.443,1.239,2.165
