threshold_1,threshold_2,threshold_3,threshold_4,threshold_5
-2.817,-1.434,-1.242,1.153,4.618
-3.789,-2.348,-1.866,0.073,2.48
-2.491,-1.581,-0.128,1.845,4.062
-3.237,-2.309,-0.558,1.607,4.119
-2.234,-0.506,-0.291,2.182,4.69
